X,Y,FID,Location,Date,Work_Order
-8480522.73793802,5319126.93347145,120,237-239 Tennyson Ave.,2021/07/14 00:00:00+00,Main Break/Leak
-8477860.61487878,5316327.74497181,121,Crescent Ave. & South Ave.,2021/07/20 00:00:00+00,Main Break/Leak
-8470843.96389659,5320291.66437754,122,2775 Erie Blvd. E.,2021/07/25 00:00:00+00,Main Break/Leak
-8474785.02219072,5318302.72002477,123,Marshall St. & Comstock Ave.,2021/07/28 00:00:00+00,Main Break/Leak
-8469879.8913281,5318966.2907608,124,107 Barrington Rd.,2021/08/01 00:00:00+00,Main Break/Leak
-8476867.10919496,5323422.66943839,125,Kirkpatrick St. & Michaels Ave.,2021/08/06 00:00:00+00,Main Break/Leak
-8477687.19726022,5318252.03604233,126,377 W. Onondaga St.,2021/08/08 00:00:00+00,Main Break/Leak
-8473435.99945119,5320409.12612368,127,1449-1455 Burnet Ave,2021/08/09 00:00:00+00,Main Break/Leak
-8477687.19726022,5318252.03604233,128,"377 W Onondaga St,  Syracuse,  New York,  13202",2021/08/09 00:00:00+00,Main Break/Leak
-8480152.19379511,5316807.10061603,129,"206 Duane St, Syracuse, New York, 13207",2021/08/10 00:00:00+00,Main Break/Leak
-8472939.99757288,5319300.75087534,130,2100 E Fayette St Syracuse,2021/08/12 00:00:00+00,Main Break/Leak
-8476171.87183302,5318491.10503936,131,663 E. Adams St,2021/08/15 00:00:00+00,Main Break/Leak
-8474489.42512945,5319614.66416637,132,"E Water St & S Beech St, Syracuse, New York, 13210",2021/08/16 00:00:00+00,Main Break/Leak
-8473566.69436461,5318293.30221263,133,503-07 Westcott St & Harvard Pl,2021/08/17 00:00:00+00,Main Break/Leak
-8474489.42512945,5319614.66416637,134,"E Water St & S Beech St, Syracuse, New York, 13210",2021/08/17 00:00:00+00,Main Break/Leak
-8476867.10919496,5323422.66943839,135,"Kirkpatrick St & Michaels Ave,  Syracuse,  New York,  13208",2021/08/19 00:00:00+00,Main Break/Leak
-8472822.87463963,5319311.58243637,136,"E Fayette St & Croly St,  Syracuse,  New York,  13224",2021/08/20 00:00:00+00,Main Break/Leak
-8472939.99757288,5319300.75087534,137,2100 E Fayette St,2021/08/20 00:00:00+00,Main Break/Leak
-8477064.87330283,5320380.38541512,138,513 N. State St.Syracuse NY,2021/08/24 00:00:00+00,Main Break/Leak
-8481590.63866534,5320979.56637903,139,"1770 Erie Blvd W,  Syracuse,  New York,  13204",2021/08/26 00:00:00+00,Main Break/Leak
-8477646.67252629,5314512.4297542,140,618 W. Newell St.,2021/08/26 00:00:00+00,Main Break/Leak
-8476369.7056189,5321112.15563246,141,746 E. Laurel St.,2021/08/30 00:00:00+00,Main Break/Leak
-8474315.58070152,5321628.93800786,142,"1507 James St, Syracuse, New York, 13203",2021/09/01 00:00:00+00,Main Break/Leak
-8481189.00366845,5319961.53617945,143,"W Genesee St & Emerson Ave, Syracuse , NY",2021/09/03 00:00:00+00,Main Break/Leak
-8476980.27592904,5320237.10894263,144,417 N State St,2021/09/03 00:00:00+00,Main Break/Leak
-8477380.91498007,5319139.28622046,145,"W Jefferson St & S Clinton St,  Syracuse,  New York,  13202",2021/09/05 00:00:00+00,Main Break/Leak
-8476931.8072262,5322279.78300619,146,500 (Block) Spring St.,2021/09/08 00:00:00+00,Main Break/Leak
-8476854.57775196,5318481.14707098,147,Montgomery St. @ E. Adams St.,2021/09/09 00:00:00+00,Main Break/Leak
-8479030.34123107,5313869.94613621,148,111-15 Cornell Ave,2021/09/21 00:00:00+00,Main Break/Leak
-8477548.21397065,5314354.42818067,149,139 Baldwin Ave Syracuse ny,2021/09/21 00:00:00+00,Main Break/Leak
-8477876.7908441,5323677.09051414,150,"105 Pennsylvania Ave, Syracuse, New York, 13208",2021/09/22 00:00:00+00,Main Break/Leak
